,0
0,rice
1,80
2,40
3,40
4,5.5
5,maize
6,80
7,40
8,20
9,5.5
10,chickpea
11,40
12,60
13,80
14,5.5
15,kidneybeans
16,20
17,60
18,20
19,5.5
20,pigeonpeas
21,20
22,60
23,20
24,5.5
25,mothbeans
26,20
27,40
28,20
29,5.5
30,mungbean
31,20
32,40
33,20
34,5.5
35,blackgram
36,40
37,60
38,20
39,5.0
40,lentil
41,20
42,60
43,20
44,5.5
45,pomegranate
46,20
47,10
48,40
49,5.5
50,banana
51,100
52,75
53,50
54,6.5
55,mango
56,20
57,20
58,30
59,5.0
60,grapes
61,20
62,125
63,200
64,4.0
65,watermelon
66,100
67,10
68,50
69,5.5
70,muskmelon
71,100
72,10
73,50
74,5.5
75,apple
76,20
77,125
78,200
79,6.5
80,orange
81,20
82,10
83,10
84,4.0
85,papaya
86,50
87,50
88,50
89,6.0
90,coconut
91,20
92,10
93,30
94,5.0
95,cotton
96,120
97,40
98,20
99,5.5
100,jute
101,80
102,40
103,40
104,5.5
105,coffee
106,100
107,20
108,30
109,5.5
